Número ;Fecha de creación ;Referencia;Usuario generador;Anio;Sector ;Cod repartición de origen;Repartición;Ministerio;Organismo;Usuario iniciador;Familia de documento;Tipo de documento;Tipo de documento GDE;Número especial;Número (número especial);Acrónimo;Sistema origen;Sistema Iniciador
ACTA-2022-00522254-APN-SGA#MS;03/01/2022 21:08;NAC - 80_1201_OC21 - MAFRALAC ALIMENTICIA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522364-APN-SGA#MS;03/01/2022 21:08;NAC - 80_1201_OC21 - MAFRALAC ALIMENTICIA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522473-APN-SGA#MS;03/01/2022 21:09;NAC - 80_1201_OC21 - MAFRALAC ALIMENTICIA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522526-APN-SGA#MS;03/01/2022 21:10;NAC - 80_1201_OC21 - MAFRALAC ALIMENTICIA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522599-APN-SGA#MS;03/01/2022 21:10;NAC - 80_1201_OC21 - MAFRALAC ALIMENTICIA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522698-APN-SGA#MS;03/01/2022 21:11;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522755-APN-SGA#MS;03/01/2022 21:12;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522844-APN-SGA#MS;03/01/2022 21:12;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00522924-APN-SGA#MS;03/01/2022 21:13;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523015-APN-SGA#MS;03/01/2022 21:14;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523125-APN-SGA#MS;03/01/2022 21:14;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523235-APN-SGA#MS;03/01/2022 21:15;NAC - OC 80_1139_OC19 - SHIRE HUMAN GENETIC THERAPIES SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;GGALEANO;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523394-APN-SGA#MS;03/01/2022 21:16;NAC - OC 22_21 - ALFARMA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523542-APN-SGA#MS;03/01/2022 21:18;NAC - OC 22_21 - ALFARMA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523631-APN-SGA#MS;03/01/2022 21:19;NAC - OC 22_21 - ALFARMA SRL;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523761-APN-SGA#MS;03/01/2022 21:20;NAC - OC 16_21 - EURO SWISS SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523901-APN-SGA#MS;03/01/2022 21:21;NAC - OC 16_21 - EURO SWISS SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
ACTA-2022-00523970-APN-SGA#MS;03/01/2022 21:22;NAC - OC 16_21 - EURO SWISS SA;CCAPRIOLI;2022;SGA#MS - CRD - Comisión de Recepción Definitiva;SGA#MS;Secretaría de gestión administrativa;Ministerio de salud;Secretaría de gestión administrativa;DKASJAN;Acta;Acta de recepción de bienes y servicios;ACTA;;;FOBYS;GEDO;GEDO
